iter	Passed	Remaining
0	151	14982
1	156	7653
2	160	5189
3	162	3902
4	164	3127
5	168	2637
6	173	2298
7	176	2024
8	180	1827
9	193	1739
10	196	1593
11	198	1458
12	201	1348
13	202	1246
14	204	1158
15	205	1080
16	206	1010
17	208	949
18	209	893
19	210	843
20	212	798
21	215	762
22	217	727
23	219	693
24	220	662
25	222	634
26	224	607
27	226	581
28	228	558
29	233	544
30	237	528
31	241	513
32	245	497
33	247	479
34	250	465
35	253	450
36	255	435
37	258	421
38	261	408
39	263	394
40	265	382
41	268	370
42	270	358
43	272	346
44	274	335
45	276	324
46	278	314
47	279	303
48	280	292
49	282	282
50	283	272
51	285	263
52	287	254
53	288	246
54	291	238
55	293	230
56	295	223
57	297	215
58	299	208
59	301	201
60	307	196
61	309	189
62	311	183
63	315	177
64	317	171
65	319	164
66	321	158
67	323	152
68	325	146
69	328	140
70	331	135
71	332	129
72	337	124
73	340	119
74	343	114
75	345	109
76	348	104
77	350	98
78	353	93
79	358	89
80	361	84
81	362	79
82	364	74
83	366	69
84	369	65
85	371	60
86	373	55
87	374	51
88	375	46
89	377	41
90	380	37
91	382	33
92	384	28
93	387	24
94	388	20
95	391	16
96	393	12
97	395	8
98	398	4
99	401	0
